,Leadership,Union reps,Community council,Health & safety,Audit teams,Grievance committee,Comms team,Security team,Postal services
A lot,73,35,74,139,29,75,31,139,186
Not at all,196,155,77,54,140,87,187,73,37
Not much,176,242,164,113,231,180,227,112,92
Some,196,208,328,336,240,300,197,320,328
