,Democratic elections,Expert-led decisions,Strong leader without union,Security team rule
Fairly bad way of managing the community,100,151,210,189
Fairly good way of managing the community,287,282,149,123
Very bad way of managing the community,40,85,196,269
Very good way of managing the community,187,95,58,31
