,Democratic elections,Expert-led decisions,Strong leader without union,Security team rule
Fairly bad way of managing the community,95,180,199,195
Fairly good way of managing the community,296,273,175,139
Very bad way of managing the community,57,98,186,257
Very good way of managing the community,180,77,69,35
