,Systemic racism exists,Management issues outweigh protest disruptions,Community is complacent,Internal media prioritizes image over truth,Leadership neglects workers,Interactions need to be more inclusive
A significant impact,92,87,76,48,50,80
Just a slight impact,55,73,68,92,73,67
No impact at all,43,41,53,55,79,45
Somewhat of an impact,99,88,91,92,85,96
