,Leadership,Union reps,Community council,Health & safety,Audit teams,Grievance committee,Comms team,Security team,Postal services
A lot,58,29,63,117,21,62,26,107,159
Not at all,177,140,83,49,125,86,160,80,36
Not much,146,184,139,100,188,143,178,110,72
Some,146,172,242,261,191,233,161,230,259
