,Systemic racism exists,Management issues outweigh protest disruptions,Community is complacent,Internal media prioritizes image over truth,Leadership neglects workers,Interactions need to be more inclusive
A significant impact,158,129,113,82,88,152
Just a slight impact,109,131,131,147,130,109
No impact at all,80,85,101,134,174,87
Somewhat of an impact,180,181,182,163,134,178
