,Systemic racism exists,Management issues outweigh protest disruptions,Community is complacent,Internal media prioritizes image over truth,Leadership neglects workers,Interactions need to be more inclusive
A significant impact,594,482,379,241,229,436
Just a slight impact,125,145,232,264,237,201
No impact at all,81,69,96,262,254,125
Somewhat of an impact,331,433,427,364,408,370
