,Union Voting,Community Meetings,Stay Informed,Community Emblem,Community Events,Know Pledge & Rules,Support Worker Rights,Respect Dissent,Belief in God,Protest Injustice
Not at all important,7,46,16,328,12,193,79,10,476,42
Not so important,14,148,79,303,32,291,199,82,179,143
Somewhat important,119,455,573,235,261,271,385,414,142,449
Very important,960,451,433,234,795,347,436,596,302,466
