,Democratic elections,Expert-led decisions,Strong leader without union,Security team rule
Fairly bad way of managing the community,40,265,305,211
Fairly good way of managing the community,461,494,104,69
Very bad way of managing the community,21,126,629,785
Very good way of managing the community,564,202,47,22
