,Systemic racism exists,Management issues outweigh protest disruptions,Community is complacent,Internal media prioritizes image over truth,Leadership neglects workers,Interactions need to be more inclusive
A significant impact,476,401,340,209,180,369
Just a slight impact,87,113,160,215,178,148
No impact at all,55,54,69,160,207,80
Somewhat of an impact,261,311,311,297,313,286
