,Leadership,Union reps,Community council,Health & safety,Audit teams,Grievance committee,Comms team,Security team,Postal services
A lot,109,37,189,376,114,195,49,223,448
Not at all,482,207,75,76,126,126,336,151,36
Not much,229,479,226,183,370,244,360,263,128
Some,271,369,599,458,484,531,351,459,484
