,Leadership,Union reps,Community council,Health & safety,Audit teams,Grievance committee,Comms team,Security team,Postal services
A lot,92,29,121,148,57,107,44,136,216
Not at all,224,98,28,37,63,59,133,47,20
Not much,81,207,98,100,173,134,160,82,60
Some,122,186,271,235,226,222,185,254,224
