,Democratic elections,Expert-led decisions,Strong leader without union,Security team rule
Fairly bad way of managing the community,57,314,313,293
Fairly good way of managing the community,374,362,206,141
Very bad way of managing the community,26,312,485,635
Very good way of managing the community,660,129,114,41
