,Systemic racism exists,Management issues outweigh protest disruptions,Community is complacent,Internal media prioritizes image over truth,Leadership neglects workers,Interactions need to be more inclusive
A significant impact,261,257,227,133,134,208
Just a slight impact,65,48,82,114,95,90
No impact at all,27,27,35,82,86,49
Somewhat of an impact,164,185,175,185,202,171
