,Democratic elections,Expert-led decisions,Strong leader without union,Security team rule
Fairly bad way of managing the community,47,222,234,223
Fairly good way of managing the community,305,302,137,99
Very bad way of managing the community,20,214,424,516
Very good way of managing the community,498,131,79,32
