,Leadership,Union reps,Community council,Health & safety,Audit teams,Grievance committee,Comms team,Security team,Postal services
A lot,299,53,183,314,87,197,79,469,385
Not at all,337,255,79,101,161,123,406,75,52
Not much,179,430,225,210,375,259,280,118,156
Some,316,387,638,507,507,557,369,471,540
