,Leadership,Union reps,Community council,Health & safety,Audit teams,Grievance committee,Comms team,Security team,Postal services
A lot,177,48,156,285,72,154,83,302,343
Not at all,330,182,69,82,113,107,257,90,40
Not much,139,336,194,145,294,211,204,133,97
Some,233,310,456,367,395,410,337,356,400
