RespId,weight,age,Education,race,gender,income_cat,voter_category,Union Voting,Community Meetings,Stay Informed,Community Emblem,Community Events,Know Pledge & Rules,Support Worker Rights,Respect Dissent,Belief in God,Protest Injustice
470348,0.9554,83,High school or less,White,Male,$75-125k,sporadic,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important
470349,1.5268,27,Some college,White,Female,$125k or more,always,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,Somewhat important,Not so important
470350,0.867,83,Some college,Other/Mixed,Male,$75-125k,sporadic,Very important,Somewhat important,Somewhat important,Not so important,Very important,Somewhat important,Somewhat important,Somewhat important,Not so important,Not so important
470351,1.0557,53,High school or less,White,Male,$40-75k,always,Very important,Very important,Very important,Not so important,Very important,Somewhat important,Somewhat important,Somewhat important,Not so important,Very important
470352,1.0688,35,College,White,Female,$75-125k,sporadic,Very important,Very important,Very important,Very important,Very important,Not at all important,Very important,Very important,Not at all important,Very important
470353,1.0092,75,College,White,Female,$125k or more,sporadic,Very important,Very important,Very important,Not so important,Very important,Very important,Very important,Very important,Not at all important,Very important
470354,1.1241,53,Some college,White,Female,Less than $40k,sporadic,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not so important
470355,1.3471,61,High school or less,Other/Mixed,Male,$125k or more,always,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important
470356,1.1564,59,High school or less,Black,Female,$40-75k,always,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important
470358,0.7607,28,College,White,Male,$40-75k,rarely/never,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Not at all important,Not at all important
480385,1.0261,45,College,Other/Mixed,Female,$125k or more,rarely/never,Very important,Very important,Very important,Not so important,Very important,Not so important,Not so important,Somewhat important,Not at all important,Very important
470359,1.0567,58,College,White,Female,$75-125k,always,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important
470361,1.1838,69,Some college,White,Female,$125k or more,always,Very important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Not at all important,Not so important
470362,1.3006,40,High school or less,White,Male,$40-75k,sporadic,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Not so important
470363,0.9274,62,Some college,White,Female,$75-125k,rarely/never,Very important,Not at all important,Somewhat important,Not at all important,Very important,Not at all important,Not so important,Not so important,Not at all important,Not at all important
470364,1.0341,75,College,White,Female,$125k or more,sporadic,Very important,Very important,Very important,Not at all important,Very important,Not so important,Somewhat important,Somewhat important,Not at all important,Very important
470365,1.264,46,College,White,Female,$75-125k,sporadic,Very important,Very important,Very important,Not at all important,Very important,Not so important,Very important,Very important,Somewhat important,Somewhat important
470366,1.3041,51,College,White,Female,$125k or more,always,Very important,Very important,Very important,Not so important,Very important,Not so important,Somewhat important,Very important,Not at all important,Very important
470367,0.9261,78,High school or less,White,Female,Less than $40k,sporadic,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Not so important
470370,0.296,52,College,Hispanic,Male,Less than $40k,rarely/never,,Somewhat important,,Not so important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important
470371,1.1045,45,Some college,White,Male,$75-125k,sporadic,Very important,Very important,Very important,Somewhat important,Very important,Not so important,Somewhat important,Somewhat important,Not so important,Very important
470372,1.1379,30,Some college,White,Male,$75-125k,sporadic,Very important,Not so important,Not so important,Somewhat important,Somewhat important,Not so important,Somewhat important,Somewhat important,Somewhat important,Somewhat important
470373,0.6322,65,College,White,Male,$40-75k,sporadic,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important
470374,0.7361,28,College,White,Male,$40-75k,rarely/never,Very important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important
470375,0.541,59,College,Black,Male,$125k or more,always,Very important,Somewhat important,Somewhat important,Not so important,Very important,Not so important,Not so important,Somewhat important,Not at all important,Somewhat important
470376,0.6197,30,College,Black,Female,$75-125k,always,Very important,Not so important,Somewhat important,Not so important,Very important,Not so important,Not so important,Very important,Very important,Somewhat important
470377,0.8683,80,College,White,Female,$75-125k,always,Very important,Somewhat important,Very important,Not at all important,Very important,Not so important,Not so important,Somewhat important,Not at all important,Very important
470382,1.2225,31,College,White,Female,$125k or more,rarely/never,Somewhat important,Somewhat important,Not so important,Very important,Very important,Somewhat important,Very important,Very important,Not so important,Not so important
470383,0.5243,64,College,Other/Mixed,Male,Less than $40k,sporadic,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Not at all important,Very important
470384,1.2687,43,College,White,Male,$125k or more,sporadic,Somewhat important,Somewhat important,Somewhat important,Not so important,Very important,Somewhat important,Very important,Somewhat important,Not so important,Not at all important
470385,1.0279,69,Some college,White,Female,$125k or more,always,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Somewhat important
470387,0.9855,62,Some college,White,Male,$75-125k,sporadic,Very important,Very important,Very important,Not so important,Very important,Somewhat important,Very important,Very important,Not so important,Not so important
470389,0.9741,66,High school or less,White,Male,$40-75k,sporadic,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important
470391,0.8699,68,Some college,White,Female,Less than $40k,always,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important,Not so important
470392,0.4719,69,Some college,Black,Female,Less than $40k,always,Very important,Very important,Very important,Not so important,Very important,Very important,Very important,Somewhat important,Very important,Very important
470393,0.7583,70,College,White,Male,$40-75k,rarely/never,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Somewhat important
470394,1.1512,61,High school or less,White,Female,$75-125k,always,Very important,Very important,Somewhat important,Not so important,Very important,Not so important,Very important,Very important,Somewhat important,Somewhat important
470395,1.0064,81,High school or less,White,Female,$75-125k,sporadic,Somewhat important,Somewhat important,Not so important,Not so important,Somewhat important,Not so important,Very important,Somewhat important,Very important,Somewhat important
470396,0.962,60,Some college,White,Female,$40-75k,rarely/never,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Very important,Not so important,Somewhat important
470397,0.9712,56,High school or less,White,Male,Less than $40k,always,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,Somewhat important
470403,0.7754,67,High school or less,Black,Female,Less than $40k,sporadic,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important
480432,0.4656,70,Some college,Black,Male,$40-75k,always,Very important,Very important,Somewhat important,Not at all important,Very important,Somewhat important,Very important,Very important,Very important,Very important
470405,0.9746,83,College,White,Male,$125k or more,always,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Not so important,Very important,Very important
470407,1.178,47,Some college,White,Female,$75-125k,always,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important
470408,0.4371,77,Some college,Hispanic,Male,$40-75k,always,Very important,Very important,Very important,Not so important,Very important,Very important,Very important,Very important,Very important,Somewhat important
470409,1.0357,44,College,Other/Mixed,Female,$125k or more,sporadic,Very important,Somewhat important,Somewhat important,Not at all important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important
470411,0.853,63,Some college,White,Male,$75-125k,always,Very important,Very important,Very important,Not so important,Very important,Somewhat important,Very important,Very important,Not so important,Not so important
470412,1.427,50,High school or less,White,Female,$75-125k,always,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Very important,Somewhat important,Not so important
470414,1.0767,58,College,White,Male,$125k or more,always,Very important,Very important,Somewhat important,Not so important,Very important,Very important,Very important,Very important,Very important,Not so important
470415,1.2702,39,Some college,White,Male,$125k or more,rarely/never,Not so important,Somewhat important,Somewhat important,Not so important,Very important,Somewhat important,Not so important,Very important,Very important,Not so important
470416,0.7029,68,College,White,Female,Less than $40k,always,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not so important
470417,0.5309,39,College,Black,Male,$40-75k,rarely/never,Somewhat important,Not at all important,Not so important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,Not at all important,Very important
470419,0.9673,83,High school or less,White,Female,Less than $40k,sporadic,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important
470420,1.3016,41,Some college,White,Male,$125k or more,sporadic,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,Not at all important,Somewhat important
470421,0.9456,83,Some college,White,Female,$40-75k,always,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Not at all important
470422,0.8961,82,High school or less,White,Male,Less than $40k,always,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important
470423,0.6083,48,Some college,Hispanic,Female,$75-125k,sporadic,Very important,Very important,Not so important,Very important,Not at all important,Very important,Very important,Very important,Not at all important,Not at all important
470424,0.7206,70,College,White,Male,$75-125k,always,Very important,Somewhat important,Somewhat important,Not at all important,Very important,Very important,Very important,Very important,Not so important,Somewhat important
470425,0.4689,59,College,Black,Male,$75-125k,sporadic,Very important,Very important,Somewhat important,Not at all important,Very important,Somewhat important,Somewhat important,Very important,Not at all important,Somewhat important
480454,0.7364,30,Some college,Black,Male,$40-75k,sporadic,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important
470426,0.4161,65,College,Black,Female,$75-125k,rarely/never,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Somewhat important
470427,1.0844,49,College,White,Male,$125k or more,sporadic,Very important,Somewhat important,Somewhat important,Not so important,Very important,Not so important,Somewhat important,Somewhat important,Not at all important,Somewhat important
470428,1.3207,44,College,White,Female,$75-125k,sporadic,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Not at all important
470429,0.9927,68,Some college,White,Male,$75-125k,always,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not at all important
470430,1.4368,43,Some college,White,Female,$125k or more,sporadic,Very important,Very important,Very important,Somewhat important,Very important,Not so important,Very important,Very important,Very important,Very important
470431,0.7646,70,College,White,Female,$75-125k,always,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important
470433,1.0583,52,College,White,Male,$125k or more,always,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important
470434,1.0943,78,High school or less,White,Female,$125k or more,sporadic,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not so important,Very important,Not so important
470436,1.0844,45,College,White,Male,$125k or more,sporadic,Very important,Very important,Very important,Not so important,Very important,Not so important,Very important,Somewhat important,Not at all important,Somewhat important
470437,1.1157,71,Some college,White,Male,$125k or more,always,Very important,Very important,Very important,Not so important,Very important,Not so important,Very important,Not so important,Not at all important,Very important
470439,1.6302,26,College,Black,Male,$125k or more,always,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important
470440,0.9981,65,High school or less,White,Male,$40-75k,rarely/never,,Not so important,,,Very important,,,,Very important,
470442,0.9132,65,Some college,White,Male,$40-75k,sporadic,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Somewhat important,Very important,Not so important
470444,0.8657,73,High school or less,White,Male,Less than $40k,always,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important
470446,2.496,58,High school or less,Other/Mixed,Female,Less than $40k,sporadic,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important
470448,0.9145,71,Some college,White,Female,Less than $40k,sporadic,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important,Not so important,Not so important
480478,0.5082,70,Some college,Black,Female,$75-125k,always,Very important,Very important,Very important,Not at all important,Very important,Very important,Somewhat important,Very important,Very important,Very important
470450,1.6988,40,Some college,White,Female,$125k or more,rarely/never,Very important,Not so important,Somewhat important,Somewhat important,Somewhat important,Not so important,Not so important,Very important,Very important,Somewhat important
470451,0.9274,68,Some college,White,Female,$75-125k,always,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important
470452,1.2519,65,High school or less,White,Male,$125k or more,sporadic,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not so important
470455,0.556,63,College,Hispanic,Female,$125k or more,sporadic,Very important,Somewhat important,Very important,Not so important,Very important,Not so important,Very important,Somewhat important,Very important,Very important
470457,0.6249,67,High school or less,Black,Male,$40-75k,rarely/never,Somewhat important,Very important,Not so important,Not so important,Very important,Somewhat important,Somewhat important,Not so important,Very important,Not so important
470458,0.6322,86,College,White,Male,$40-75k,sporadic,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important
470459,0.7841,77,College,White,Male,$75-125k,sporadic,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important
470460,1.0267,61,College,White,Female,$125k or more,always,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important
480491,0.9186,63,High school or less,White,Female,Less than $40k,sporadic,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Somewhat important
470461,1.0767,53,College,White,Male,$125k or more,sporadic,Very important,Somewhat important,Not so important,Not so important,Very important,Very important,Very important,Very important,Very important,Somewhat important
470466,0.7841,68,College,White,Male,$75-125k,sporadic,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Not at all important,Very important
470468,0.8208,63,High school or less,Black,Female,$75-125k,sporadic,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Not so important,Very important,Very important,Very important,Very important
470469,0.8913,74,Some college,White,Female,$40-75k,always,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Not so important
470470,0.8951,57,College,White,Male,$75-125k,sporadic,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not at all important
470471,0.9517,37,College,White,Male,$75-125k,sporadic,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Not so important,Somewhat important
470472,1.1106,58,High school or less,White,Male,$40-75k,sporadic,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important
470474,0.7158,80,College,White,Male,$75-125k,always,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Not so important,Very important,Somewhat important
470476,0.3728,66,College,Black,Female,$75-125k,always,Very important,Not at all important,Very important,Not at all important,Very important,Not at all important,Very important,Very important,Somewhat important,Very important
470477,0.9081,65,High school or less,White,Male,$75-125k,always,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important
470478,0.9264,69,College,White,Male,$125k or more,sporadic,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important
470480,0.7158,77,High school or less,Hispanic,Male,$40-75k,sporadic,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important
470481,0.7835,71,College,White,Male,$125k or more,always,Very important,Somewhat important,Very important,Not so important,Very important,Somewhat important,Somewhat important,Not so important,Not at all important,Somewhat important
470482,1.0143,54,High school or less,White,Male,$40-75k,sporadic,Somewhat important,Not so important,Not so important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Very important,Not so important
470483,1.3354,67,Some college,White,Male,$125k or more,always,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important,Not so important
470484,1.2364,62,Some college,White,Female,$125k or more,always,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Not so important
470485,0.9012,46,College,Other/Mixed,Male,$125k or more,rarely/never,Very important,Somewhat important,Somewhat important,Not at all important,Very important,Not so important,Somewhat important,Very important,Not so important,Very important
470487,0.8321,58,College,White,Male,$40-75k,always,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Not so important
470488,0.5005,67,Some college,Black,Female,Less than $40k,sporadic,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important
480520,0.9261,61,High school or less,White,Female,$40-75k,sporadic,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important
470489,0.5081,42,College,Black,Male,$75-125k,sporadic,Very important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Somewhat important
470490,0.9676,63,College,White,Male,$125k or more,rarely/never,Very important,Somewhat important,Very important,Not so important,Very important,Somewhat important,Somewhat important,Very important,Not at all important,Somewhat important
470491,1.0147,57,College,White,Female,$40-75k,always,Very important,Somewhat important,Not so important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Not at all important
470492,0.8404,86,Some college,White,Female,Less than $40k,always,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not so important
470495,1.5551,61,High school or less,White,Male,$40-75k,sporadic,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Not so important
470496,0.9211,67,Some college,White,Female,$40-75k,always,Very important,Very important,Somewhat important,Not so important,Very important,Very important,Very important,Somewhat important,Not so important,Somewhat important
470497,1.159,59,High school or less,White,Female,Less than $40k,sporadic,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not at all important
470498,1.8396,38,High school or less,Hispanic,Female,$40-75k,sporadic,Not so important,Not so important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Not so important,Somewhat important
470499,1.1292,39,Some college,White,Female,$40-75k,sporadic,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Not so important
480532,0.4264,63,College,Black,Female,$75-125k,always,Very important,Very important,Very important,Not so important,Very important,Very important,Very important,Very important,Very important,Very important
470501,0.9742,63,High school or less,White,Female,Less than $40k,sporadic,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Somewhat important
470502,1.0092,73,College,White,Female,$125k or more,always,Very important,Very important,Very important,Not so important,Very important,Very important,Somewhat important,Very important,Very important,Somewhat important
470503,0.9746,76,College,White,Male,$125k or more,sporadic,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Not at all important,Somewhat important
470504,0.9488,78,High school or less,White,Male,$40-75k,sporadic,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,,Very important,Not so important,Very important
470505,0.4689,59,College,Black,Male,$75-125k,always,Very important,Somewhat important,Very important,Not at all important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important
470506,0.4753,68,Some college,Black,Female,Less than $40k,always,Very important,Not so important,Somewhat important,Somewhat important,Very important,Somewhat important,Not so important,Not so important,Somewhat important,Not so important
480540,0.7605,29,College,White,Male,$75-125k,sporadic,Very important,Not so important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Not so important
470507,1.0767,56,College,White,Male,$125k or more,always,Very important,Very important,Somewhat important,Not at all important,Very important,Very important,Somewhat important,Somewhat important,Not at all important,Somewhat important
470508,0.9055,69,High school or less,White,Male,$40-75k,always,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Somewhat important,Very important,Not at all important
470513,0.9712,59,College,White,Female,$75-125k,always,Very important,Somewhat important,Somewhat important,Not so important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important
470514,0.7712,49,Some college,Black,Female,$75-125k,rarely/never,Not at all important,Somewhat important,Somewhat important,Not at all important,Very important,Not at all important,Not at all important,Very important,Very important,Not at all important
470515,0.9208,77,Some college,White,Female,$75-125k,always,Very important,Very important,Very important,Not so important,Very important,Very important,Somewhat important,Very important,Not so important,Somewhat important
470517,0.7648,70,College,White,Female,$40-75k,always,Very important,Very important,Somewhat important,Not so important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important
470518,0.6625,81,College,White,Male,Less than $40k,always,Very important,Very important,Very important,,Not so important,Very important,Not at all important,Somewhat important,Somewhat important,Somewhat important
470519,1.1512,67,High school or less,White,Female,$125k or more,always,Very important,Very important,Very important,Not so important,Very important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important
470520,0.9511,75,College,White,Male,$125k or more,always,Very important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Not at all important,Not so important
470521,1.143,65,High school or less,White,Female,$75-125k,always,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Not so important
470523,1.0943,68,High school or less,White,Female,$75-125k,rarely/never,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Somewhat important
470524,1.3135,56,College,White,Female,$125k or more,sporadic,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Not so important
470525,1.4351,44,College,White,Female,$125k or more,sporadic,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Not at all important
470526,0.834,80,Some college,White,Male,$40-75k,always,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important
470527,1.1235,78,High school or less,White,Female,$75-125k,always,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important
470528,0.9656,57,Some college,White,Male,$75-125k,sporadic,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important
470529,0.8243,67,College,White,Male,$125k or more,always,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Not so important,Not so important
470530,1.063,57,High school or less,White,Male,$75-125k,always,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important
470531,0.8198,69,Some college,White,Male,$40-75k,always,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important
470532,0.4719,65,Some college,Black,Female,Less than $40k,sporadic,Very important,Somewhat important,Very important,Not so important,Somewhat important,Not so important,Very important,Somewhat important,Not so important,Not so important
470535,1.2966,57,Some college,White,Male,$125k or more,always,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important
470536,1.6273,63,High school or less,White,Female,$40-75k,rarely/never,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Not so important,Somewhat important
470540,1.2687,43,College,White,Male,$125k or more,sporadic,Very important,Very important,Somewhat important,Not at all important,Very important,Not so important,Not at all important,Not so important,Not at all important,Very important
470541,1.056,67,Some college,Other/Mixed,Male,$40-75k,sporadic,Very important,Very important,Somewhat important,Not at all important,Very important,Very important,Very important,Very important,Not at all important,Somewhat important
470542,0.6682,64,College,White,Female,Less than $40k,always,Very important,Very important,Very important,Not so important,Very important,Somewhat important,Somewhat important,Somewhat important,Not so important,Very important
470543,1.3447,41,Some college,White,Female,$40-75k,sporadic,Very important,Not so important,Somewhat important,Not at all important,Very important,Not so important,Not so important,Somewhat important,Not at all important,Somewhat important
470545,0.9116,63,High school or less,White,Male,Less than $40k,sporadic,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important
470547,0.9676,79,College,White,Male,$125k or more,always,Very important,Very important,Very important,Not at all important,Very important,Not so important,Somewhat important,Very important,Not at all important,Very important
470548,0.2789,74,College,Black,Male,Less than $40k,sporadic,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important
470549,0.834,73,Some college,White,Male,Less than $40k,sporadic,Very important,Somewhat important,Very important,Not so important,Very important,Very important,Very important,Somewhat important,Not so important,Not so important
470550,0.9673,64,High school or less,White,Female,Less than $40k,rarely/never,Very important,Not so important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important
470552,1.2828,61,High school or less,White,Male,$125k or more,always,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important
470554,0.8243,75,College,White,Male,$125k or more,always,Very important,Very important,Somewhat important,Not at all important,Very important,Not so important,Somewhat important,Somewhat important,Not at all important,Somewhat important
470556,1.4351,42,College,White,Female,$125k or more,sporadic,Very important,Very important,Very important,Not so important,Very important,Not so important,Somewhat important,Somewhat important,Not at all important,Very important
470557,1.0943,65,High school or less,White,Female,$75-125k,always,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important
470558,1.0591,77,High school or less,White,Female,$40-75k,always,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important
470559,1.0675,58,Some college,White,Female,Less than $40k,sporadic,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important,Somewhat important,Not so important
470560,0.3085,77,College,Black,Male,$40-75k,always,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important
470561,0.5516,52,College,Hispanic,Female,$125k or more,always,Very important,Very important,Somewhat important,Not so important,Very important,Somewhat important,Very important,Very important,Not so important,Somewhat important
470562,1.0588,90,High school or less,White,Male,$75-125k,always,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important
470565,0.7825,55,College,Other/Mixed,Male,$125k or more,sporadic,Very important,Very important,Very important,Not so important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important
470567,1.4453,55,Some college,White,Female,$125k or more,rarely/never,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Not so important,Somewhat important
470568,1.2375,59,High school or less,White,Female,Less than $40k,sporadic,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Not so important,Not so important
470570,0.885,73,Some college,White,Female,Less than $40k,rarely/never,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important
470571,1.0143,59,High school or less,White,Male,Less than $40k,sporadic,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important
470572,1.8086,32,High school or less,White,Female,$125k or more,rarely/never,Not so important,Not so important,Not so important,Not so important,Very important,Not so important,Not so important,Very important,Very important,Not so important
470573,1.2717,57,Some college,White,Female,$125k or more,always,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Not so important
470574,0.9132,68,Some college,White,Male,$40-75k,always,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Not so important
470575,0.6926,77,College,White,Male,Less than $40k,rarely/never,Not at all important,Not at all important,Somewhat important,Not at all important,Not at all important,Not at all important,Not at all important,Somewhat important,Very important,Somewhat important
470576,0.3296,65,College,Black,Male,$75-125k,rarely/never,Very important,Very important,Very important,Not so important,Very important,Somewhat important,Very important,Very important,Very important,Very important
470577,0.3769,63,Some college,Black,Male,$40-75k,sporadic,Very important,Very important,Very important,Not at all important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important
480614,1.1027,57,High school or less,White,Male,$40-75k,always,Very important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important
470580,1.1668,58,High school or less,White,Female,Less than $40k,sporadic,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important
470581,0.4357,45,College,Hispanic,Female,$75-125k,always,Somewhat important,Not at all important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,Not at all important
